section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
2.00,Policy,0,0,0,0,0,0,0
2.01,Coverage,0,1,1,0,0,0,2
2.02,Countries of Imports/Exports,0,4,0,2,0,0,2
2.03,Filing of Application,0,2,1,0,0,1,2
2.04,Territorial Jurisdiction of RA,2,7,3,3,0,4,6
2.05,Incomplete Application,0,3,2,0,1,0,3
2.06,Application Fee,0,0,0,1,0,0,1
2.07,IEC Number Exempted Categories,5,18,4,15,1,8,3
2.08,Application for IEC,5,5,5,2,1,1,6
2.09,IEC Format,0,1,0,0,0,3,1
2.10,Validity of IEC,1,1,1,2,0,0,0
2.11,Validity of IEC for EOUs / SEZs,0,0,0,0,0,0,0
2.12,One PAN-One IEC,1,0,1,0,0,0,0
2.13,Surrender of IEC,9,8,9,3,1,4,4
2.14,Modification of IEC,4,6,4,0,3,6,4
2.15,Profile of Importer / Exporter,5,9,7,0,3,0,7
2.16,Validity period of Authorisation/ Licence / Certificate /,3,10,3,5,6,4,3
2.17,Date of reckoning of Import / Export,1,0,1,1,0,0,0
2.18,Validity of Authorisation/ Licence for import/export,4,1,4,1,0,0,1
2.19,Validity of Scrips,1,0,1,0,0,0,0
2.20,Revalidation of Import / Export Licence Certificate/ Authorisation /,11,9,16,6,15,11,2
2.21,Authority to Revalidate,0,1,0,0,0,0,0
2.22,Application for Revalidation,0,0,0,0,0,0,1
2.23,Duplicate copies of Export / Import Authorisation,10,10,14,6,13,8,6
2.24,Documents required for duplicate copy of freely transferable,0,2,2,0,0,0,6
2.25,Exception,2,1,2,1,1,1,1
2.26,Mechanism for issuing duplicates,1,1,1,0,1,1,0
2.27,Validity of duplicate Authorisation,2,1,2,0,0,0,0
2.28,Applicability of the provision,1,0,1,0,0,0,0
2.29,Execution of BG/Legal undertaking for Advance Authorisation/,10,10,10,1,4,13,10
2.29,A Any firm/ company coming under the NCLT proceedings shall make a,2,1,2,0,1,1,2
2.30,Advance Payment,11,8,11,1,4,11,7
2.31,Import under Lease Financing,2,1,2,0,0,0,0
2.32,Submission of Certified Copies of Documents,0,1,0,0,0,2,1
2.33,Warehousing Facility,2,4,3,1,1,3,5
2.34,Free Sale and Commerce Certificate,7,16,7,3,4,2,12
2.35,End User Certificate,3,4,2,0,1,4,3
2.36,Imports under Indo-US Memorandum of Understanding,14,28,10,5,2,3,21
2.37,Import of Consumer or Other goods as Gifts,10,15,10,5,0,3,12
2.38,Import of Cheque Books /Ticket Forms etc.,0,0,0,0,0,0,0
2.39,Import of Reconditioned/ Second Hand Aircraft Spares,1,1,1,0,0,0,0
2.40,Import of Replacement Goods,2,3,2,2,3,1,2
2.41,Other Conditions for Import of Replacement Goods,5,9,5,0,2,3,5
2.42,Import of Overseas Office Equipment,0,0,0,0,0,0,0
2.43,Import of Ammunition by Licensed /Authorised Arms Dealers,4,4,2,0,2,1,4
2.44,Duty Free Imports for specific Sectors,9,10,9,0,0,4,7
2.45,Import under Govt. to Govt. Agreements,0,0,0,0,0,2,0
2.46,Transfer of Imported Goods,12,18,13,0,4,3,4
2.47,Import /Export of Restricted Items,0,0,0,0,0,2,2
2.48,EXIM Facilitation Committee,6,12,5,2,10,9,1
2.49,"Import of Restricted items required by Hotels, Restaurants, Travel",14,13,16,5,7,6,2
2.50,Import of Restricted items for R&D by units of Government,0,0,1,1,0,2,0
2.51,Import of Metallic Waste and Scrap,11,16,11,2,1,2,11
1,"Chennai, 2. Cochin, 3. Ennore, 4. JNPT, 5. Kandla, 6. Mormugao, 7.",13,20,9,5,2,3,3
2.52,Recognition as Pre-shipment Inspection Agency (PSIA) and issuance,9,14,11,5,8,3,11
2.53,Responsibility and Liability of PSIA and Importer,11,8,13,0,1,5,12
2.54,Import of other kinds of metallic waste and scraps,0,0,0,0,0,0,0
2.55,Imports of seconds and defectives,0,0,0,0,0,0,0
2.56,Services of Inspection and Certification Agencies,1,6,1,1,0,5,0
2.57,Procedure for import under the Tariff Rate Quota Scheme,3,2,3,0,0,3,0
2.58,Eligible entities for allocation of quota,2,7,3,1,0,0,0
2.59,Conditions applicable on availing quotas,5,7,6,1,4,4,3
