section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
6.00,Scheme,0,0,0,0,0,0,0
6.01,Application / Approval / Renewal of approval,16,14,20,2,14,7,14
6.02,Legal Undertaking (LUT),6,1,4,1,0,0,2
6.03,Export of Goods and Services,6,8,5,0,5,0,5
6.04,Import / Domestic Procurement of Goods,3,5,3,0,2,0,0
6.05,Repair / Remaking of Jewellery,0,1,0,0,1,0,0
6.06,Conditions of Import,13,8,13,3,9,4,1
6.07,Taking out of Fax Machines / Laptop / Computers outside,5,7,3,0,1,3,1
6.08,Facility of working from a place outside the unit,3,2,3,0,0,0,0
6.09,Leasing of Capital Goods,1,0,1,0,0,0,0
6.10,Net Foreign Exchange (NFE) Earnings,8,6,8,1,2,1,1
6.11,Maintenance of Accounts,11,6,11,2,2,3,4
6.12,Monitoring of NFE,2,0,2,0,0,3,0
6.13,Conversion of Scrap / Dust / sweeping of Gold / Silver /,0,1,0,1,0,3,0
6.14,DTA Supplies,2,2,1,2,0,0,1
6.15,Supplies to other EOU / EHTP / STP / SEZ / BTP Units,1,1,1,1,0,0,0
6.16,Transfer of Power from one Unit to another,0,1,0,0,0,0,0
6.17,Supply of Precious / Semi-precious / Synthetic Stones from DTA,4,0,4,1,0,0,2
6.18,Application for grant of entitlements,0,0,0,0,0,0,1
6.19,Export through Other Exporters,9,2,9,1,2,0,0
6.20,Other Entitlements,25,15,23,3,3,3,5
6.22,Contract Farming,11,6,9,0,2,4,1
6.23,Exports through Exhibitions / Export Promotion Tour,11,8,11,1,6,2,4
6.24,Personal Carriage of Gems and Jewellery as samples for Export,5,2,5,0,3,4,0
6.25,Export through Show-rooms abroad / Duty free shops,1,0,1,1,1,0,0
6.26,Sale through Showrooms / Retail outlets at International,1,1,1,0,1,1,0
6.27,Personal Carriage of Import / Export Parcels including,8,4,6,2,0,3,12
6.28,Replacement / Repair of Imported / Indigenous Goods,0,2,1,2,1,1,2
6.29,Samples,2,3,1,0,3,5,4
6.30,Donation of Computer and Computer Peripherals,0,1,0,0,1,5,0
6.31,Distinct Identity,2,1,1,1,0,0,0
6.32,Unit Approval Committee for EOUs,6,1,6,0,1,11,3
6.33,Approval of EHTP / STP / BTP Units,7,3,7,1,0,5,3
6.34,Powers of DC / Designated Officer,5,8,3,1,7,1,6
6.35,Change of Location / Inclusion of Additional Location with BOA,1,1,0,0,0,0,0
6.36,Clearance of Capital Goods in DTA,2,4,2,0,1,1,4
6.37,Depreciation Norms,1,3,1,0,2,0,0
6.38,Conversion,0,3,0,3,0,0,0
6.39,Fast Track Clearance Procedure,14,7,12,4,0,7,2
6.40,Time Bound Disposal of Applications,3,3,3,0,3,0,5
6.41,Formats of various letters/permissions to EOUs,0,2,0,0,0,0,0
