section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
4.01,Policy,0,0,0,1,0,0,0
4.02,General Provision,5,2,5,0,0,1,5
4.03,Applicant details,1,1,0,0,0,0,0
4.04,Advance Authorisation,1,1,1,0,0,0,2
4.05,Advance Authorisation for items which are otherwise prohibited for,10,8,9,2,2,1,0
4.06,Fixation of Norms,17,10,17,1,5,9,2
4.07,Self-Declared Authorisations where SION does not exist,26,21,25,3,5,11,11
4.08,"Cases involving Acetic Anhydride, Ephedrine and Pseudo- ephedrine",19,10,18,1,7,8,12
4.09,Cases requiring Sanitary Import Permit.,4,2,4,0,2,1,2
4.10,Advance Authorisation for applicants with multiple units,8,4,6,1,2,4,3
4.11,Advance Authorisation for Free of Cost and Paid Material,2,1,2,0,0,1,0
4.12,Entitlement,12,13,12,3,5,7,5
4.13,Authorisation in Excess of Entitlement,3,2,3,1,0,3,0
4.14,Application and On-line Inter-Ministerial Consultations for fixation of,2,5,2,2,5,5,2
4.15,Undertaking,6,7,6,3,0,4,4
4.16,Fixation of norms by Norms Committees,3,5,5,1,0,2,4
4.17,Time limit for Representation,5,7,5,3,4,5,2
4.18,Provision for Pharmaceutical Products,1,1,1,0,0,1,0
4.19,Processing of Application for Pharmaceutical Products.,6,4,6,0,2,1,7
4.20,Redemption of Authorisation issued under paragraph 4.18 of HBP,5,5,5,3,5,5,0
4.21,Maintenance of Proper Accounts for Authorisations issued under,4,3,4,0,2,3,2
4.22,Standardisation of Adhoc Norms,10,8,10,2,1,5,5
4.23,Modification of SION,1,1,1,0,0,2,1
4.24,Amendment of Export item and inputs,3,3,2,0,0,1,2
4.25,Revision of SION by NC,3,1,4,0,0,2,0
4.26,Description of an Advance Authorisation,4,4,4,0,0,0,0
4.27,Exports/Deemed Export supplies in anticipation or subsequent to,6,5,5,2,1,0,4
4.28,Exporters Risk,1,0,1,0,0,0,0
4.29,Admissibility of drawback in case of rejection of application,0,1,1,0,0,2,1
4.30,Advance Authorisation or DFIA for Intermediate Supplies,12,9,12,2,2,1,10
4.31,Advance Release Order (ARO),2,1,2,0,0,1,2
4.32,Application of ARO,9,7,10,1,1,1,6
4.33,Facility of Supporting Manufacturer/Jobber/co-licensee,11,12,9,2,3,5,2
4.34,Execution of BG/LUT,3,3,3,1,0,3,2
4.35,Port of Registration,9,12,11,4,4,8,6
4.36,Facility of Clubbing of Authorisations,28,16,28,2,14,4,0
4.37,Enhancement/Reduction in the value of Advance Authorisation,9,10,9,1,7,5,1
4.38,Application fee for enhancement,0,2,0,1,0,0,2
4.39,Validity period for import and Revalidation of Authorisation,6,0,6,0,6,0,1
4.40,Export Obligation (EO) Period and its Extension,21,25,20,5,17,4,9
