section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
5.01,Policy,0,0,0,0,0,0,0
5.02,Application Form,1,0,1,0,0,2,1
5.03,Nexus Certification,4,10,4,0,2,1,10
5.04,Certificate of Installation of Capital Goods,7,12,7,0,4,4,8
5.05,Port of Registration,1,1,1,1,0,0,0
5.06,"Import of spares, tools, refractories and catalysts",11,15,12,3,1,5,10
5.07,Conversion of EOU/Relocated SEZ Units to DTA Unit under EPCG,5,6,4,0,2,0,3
5.08,Procurement from SEZ,6,14,9,0,3,2,9
5.09,Sourcing of Capital Goods Manufactured Indigenously,8,0,8,0,0,1,2
5.10,Conditions for fulfillment of Export Obligation,27,27,27,0,0,2,28
5.11,Realization of Export proceeds,2,1,2,1,0,0,0
5.12,Calculation of Average Export Obligation,0,1,0,0,1,0,0
5.13,Block-wise Fulfillment of EO,15,7,15,4,5,5,2
5.14,Report for EO fulfilment,19,9,19,1,2,4,3
5.16,Extension in Export Obligation Period,15,11,15,8,12,2,0
5.17,Relief in Average Export Obligation,2,3,2,1,3,1,0
5.18,Maintenance of Annual Average Export Obligation,0,0,0,0,1,0,0
5.19,Automatic EO extension in the event of ban on export product,1,1,1,0,0,0,0
5.20,Export Obligation Discharge Certificate (EODC),11,7,12,1,5,3,7
5.21,Regularization of bonafide default and exit from EPCG scheme,7,5,7,0,0,1,0
5.22,Maintenance of Records,1,0,1,0,1,0,0
5.23,Re-Export / Repair/Replacement of Capital Goods Imported,8,3,9,0,7,5,1
5.24,Penal Action,1,1,1,0,0,1,0
5.25,Clubbing of EPCG authorisations,16,16,16,2,0,3,2
5.26,Green Technology Products,3,4,3,0,0,0,0
