section,title,rules,conditions,validations,exceptions,timelines,authorities,documents
1,INTRODUCTION,1,2,1,0,0,3,2
2,SCOPE,1,2,1,0,0,0,3
3,FIELD OF APPLICATION,0,1,0,0,0,0,1
3.1,Principles,0,2,1,0,0,2,6
4,REFERENCES,0,3,0,0,0,0,3
5,DEFINITIONS AND ABBREVIATIONS,0,0,0,0,0,0,0
5.1,Abbreviations,0,2,0,0,0,3,1
6,MESSAGE FUNCTION,0,4,3,4,0,1,14
7,MESSAGE DEFINITION,0,2,0,0,0,1,1
8,MESSAGE DETAILS,2,68,6,5,0,2,19
1,Maritime,0,0,0,0,0,0,0
2,Rail,0,0,0,0,0,0,0
3,Road,0,0,0,0,0,0,0
5,Mail,0,0,0,0,0,0,0
6,Multimodal (For future use),0,0,0,0,0,0,0
7,Pipeline,20,397,14,42,0,7,55
