2026-07-28 15:23:53,365 | INFO | DGFTKnowledgePipeline | Processing HBP2023_Chapter01.pdf
2026-07-28 15:23:53,366 | INFO | PDFLoader | Loading PDF C:\Users\mabis\OneDrive\Documents\New folder\dekai-dgft-parser\input\pdf\HBP2023_Chapter01.pdf
2026-07-28 15:23:53,700 | INFO | PDFLoader | Loaded 7 pages from HBP2023_Chapter01.pdf
2026-07-28 15:23:53,707 | INFO | TextCleaner | Cleaned 7 pages
2026-07-28 15:23:53,711 | INFO | RuleExtractor | Extracted 12 section drafts from HBP2023_Chapter01.pdf
2026-07-28 15:23:53,820 | INFO | Chunker | Created 1 chunks for section 1.01
2026-07-28 15:23:53,842 | INFO | Chunker | Created 1 chunks for section 1.02
2026-07-28 15:23:53,861 | INFO | Chunker | Created 1 chunks for section 1.03
2026-07-28 15:23:53,919 | INFO | Chunker | Created 2 chunks for section 1.04
2026-07-28 15:23:53,954 | INFO | Chunker | Created 1 chunks for section 1.05
2026-07-28 15:23:53,988 | INFO | Chunker | Created 1 chunks for section 1.06
2026-07-28 15:23:54,019 | INFO | Chunker | Created 1 chunks for section 1.07
2026-07-28 15:23:54,044 | INFO | Chunker | Created 1 chunks for section 1.08
2026-07-28 15:23:54,070 | INFO | Chunker | Created 1 chunks for section 1.09
2026-07-28 15:23:54,096 | INFO | Chunker | Created 1 chunks for section 1.10
2026-07-28 15:23:54,128 | INFO | Chunker | Created 1 chunks for section 1.11
2026-07-28 15:23:54,146 | INFO | Chunker | Created 1 chunks for section 1.12
2026-07-28 15:23:54,148 | INFO | DGFTKnowledgePipeline | Processing HBP Chapter 2.pdf
2026-07-28 15:23:54,149 | INFO | PDFLoader | Loading PDF C:\Users\mabis\OneDrive\Documents\New folder\dekai-dgft-parser\input\pdf\HBP Chapter 2.pdf
2026-07-28 15:24:02,684 | INFO | PDFLoader | Loaded 52 pages from HBP Chapter 2.pdf
2026-07-28 15:24:02,897 | INFO | TextCleaner | Cleaned 52 pages
2026-07-28 15:24:02,971 | INFO | RuleExtractor | Extracted 99 section drafts from HBP Chapter 2.pdf
2026-07-28 15:24:04,426 | INFO | Chunker | Created 1 chunks for section 2.00
2026-07-28 15:24:04,494 | INFO | Chunker | Created 1 chunks for section 2.01
2026-07-28 15:24:04,582 | INFO | Chunker | Created 1 chunks for section 2.02
2026-07-28 15:24:04,679 | INFO | Chunker | Created 1 chunks for section 2.03
2026-07-28 15:24:04,741 | INFO | Chunker | Created 1 chunks for section 2.04
2026-07-28 15:24:04,827 | INFO | Chunker | Created 1 chunks for section 2.05
2026-07-28 15:24:04,909 | INFO | Chunker | Created 1 chunks for section 2.06
2026-07-28 15:24:05,031 | INFO | Chunker | Created 1 chunks for section 2.07
2026-07-28 15:24:05,147 | INFO | Chunker | Created 1 chunks for section 2.08
2026-07-28 15:24:05,245 | INFO | Chunker | Created 1 chunks for section 2.09
2026-07-28 15:24:05,434 | INFO | Chunker | Created 1 chunks for section 2.10
2026-07-28 15:24:05,530 | INFO | Chunker | Created 1 chunks for section 2.11
2026-07-28 15:24:05,582 | INFO | Chunker | Created 1 chunks for section 2.12
2026-07-28 15:24:05,724 | INFO | Chunker | Created 1 chunks for section 2.13
2026-07-28 15:24:05,829 | INFO | Chunker | Created 1 chunks for section 2.14
2026-07-28 15:24:05,911 | INFO | Chunker | Created 1 chunks for section 2.15
2026-07-28 15:24:05,989 | INFO | Chunker | Created 1 chunks for section 2.16
2026-07-28 15:24:06,046 | INFO | Chunker | Created 1 chunks for section 2.17
2026-07-28 15:24:06,102 | INFO | Chunker | Created 1 chunks for section 2.18
2026-07-28 15:24:06,156 | INFO | Chunker | Created 1 chunks for section 2.19
2026-07-28 15:24:06,269 | INFO | Chunker | Created 1 chunks for section 2.20
2026-07-28 15:24:06,319 | INFO | Chunker | Created 1 chunks for section 2.21
2026-07-28 15:24:06,396 | INFO | Chunker | Created 1 chunks for section 2.22
2026-07-28 15:24:06,576 | INFO | Chunker | Created 1 chunks for section 2.23
2026-07-28 15:24:06,643 | INFO | Chunker | Created 1 chunks for section 2.24
2026-07-28 15:24:06,699 | INFO | Chunker | Created 1 chunks for section 2.25
2026-07-28 15:24:06,753 | INFO | Chunker | Created 1 chunks for section 2.26
2026-07-28 15:24:06,817 | INFO | Chunker | Created 1 chunks for section 2.27
2026-07-28 15:24:06,891 | INFO | Chunker | Created 1 chunks for section 2.28
2026-07-28 15:24:06,987 | INFO | Chunker | Created 1 chunks for section 2.29
2026-07-28 15:24:07,060 | INFO | Chunker | Created 1 chunks for section 2.29
2026-07-28 15:24:07,230 | INFO | Chunker | Created 1 chunks for section 2.30
2026-07-28 15:24:07,289 | INFO | Chunker | Created 1 chunks for section 2.31
2026-07-28 15:24:07,344 | INFO | Chunker | Created 1 chunks for section 2.32
2026-07-28 15:24:07,408 | INFO | Chunker | Created 1 chunks for section 2.33
2026-07-28 15:24:07,485 | INFO | Chunker | Created 1 chunks for section 2.34
2026-07-28 15:24:07,567 | INFO | Chunker | Created 1 chunks for section 2.35
2026-07-28 15:24:07,687 | INFO | Chunker | Created 1 chunks for section 2.36
2026-07-28 15:24:07,805 | INFO | Chunker | Created 1 chunks for section 2.37
2026-07-28 15:24:07,938 | INFO | Chunker | Created 1 chunks for section 2.38
2026-07-28 15:24:08,007 | INFO | Chunker | Created 1 chunks for section 2.39
2026-07-28 15:24:08,107 | INFO | Chunker | Created 1 chunks for section 2.40
2026-07-28 15:24:08,179 | INFO | Chunker | Created 1 chunks for section 2.41
